frame_number,elapsed_time,process_time,label,pose_bbox,pose_track_ids,fps,image_path
14050,0 days 00:12:23.001349,0 days 00:00:00.000450,[0 0 0 0 1 0 1],"[array([536, 241, 634, 374], dtype=int64)
 array([165,  41, 222, 158], dtype=int64)
 array([113,  55, 141,  99], dtype=int64)
 array([ 69, 178, 173, 442], dtype=int64)
 array([379,   9, 438, 277], dtype=int64)
 array([601,  62, 653, 241], dtype=int64)
 array([373,   8, 432, 219], dtype=int64)]",[ 98  24 198 164 227 230 231],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/14050.jpg
14055,0 days 00:12:23.291847,0 days 00:00:00.000430,[0 0 0 0 1 0 1],"[array([536, 241, 634, 373], dtype=int64)
 array([165,  41, 222, 157], dtype=int64)
 array([112,  54, 141,  99], dtype=int64)
 array([ 69, 178, 173, 441], dtype=int64)
 array([380,   6, 439, 277], dtype=int64)
 array([601,  66, 653, 243], dtype=int64)
 array([373,   5, 438, 219], dtype=int64)]",[ 98  24 198 164 227 230 231],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/14055.jpg
14060,0 days 00:12:23.692542,0 days 00:00:00.000460,[0 0 0 0 1 1 1],"[array([536, 240, 634, 372], dtype=int64)
 array([165,  41, 222, 157], dtype=int64)
 array([113,  54, 141,  99], dtype=int64)
 array([ 69, 178, 173, 442], dtype=int64)
 array([380,   4, 443, 277], dtype=int64)
 array([601,  69, 655, 245], dtype=int64)
 array([373,   4, 444, 219], dtype=int64)]",[ 98  24 198 164 227 230 231],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/14060.jpg
14065,0 days 00:12:23.840862,0 days 00:00:00.000947,[0 0 0 0 1 1 1],"[array([536, 240, 634, 373], dtype=int64)
 array([165,  41, 222, 157], dtype=int64)
 array([112,  54, 141,  99], dtype=int64)
 array([ 69, 178, 173, 441], dtype=int64)
 array([381,   4, 445, 277], dtype=int64)
 array([599,  71, 656, 245], dtype=int64)
 array([373,   4, 445, 219], dtype=int64)]",[ 98  24 198 164 227 230 231],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/14065.jpg
14070,0 days 00:12:24.084932,0 days 00:00:00.000423,[0 0 0 0 1 0 1],"[array([536, 240, 634, 373], dtype=int64)
 array([165,  41, 222, 157], dtype=int64)
 array([113,  54, 141,  99], dtype=int64)
 array([ 69, 178, 173, 441], dtype=int64)
 array([382,   4, 447, 278], dtype=int64)
 array([595,  75, 655, 245], dtype=int64)
 array([373,   4, 447, 218], dtype=int64)]",[ 98  24 198 164 227 230 231],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/14070.jpg
14075,0 days 00:12:24.272516,0 days 00:00:00.000450,[0 0 0 0 1 0 1],"[array([536, 240, 634, 373], dtype=int64)
 array([165,  41, 222, 157], dtype=int64)
 array([112,  54, 140,  99], dtype=int64)
 array([ 69, 178, 173, 441], dtype=int64)
 array([383,   5, 451, 278], dtype=int64)
 array([592,  80, 654, 245], dtype=int64)
 array([373,   5, 448, 219], dtype=int64)]",[ 98  24 198 164 227 230 231],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/14075.jpg
14080,0 days 00:12:24.526185,0 days 00:00:00.000437,[0 0 0 0 1 0 1],"[array([536, 240, 634, 373], dtype=int64)
 array([165,  41, 222, 157], dtype=int64)
 array([112,  54, 140,  99], dtype=int64)
 array([ 69, 178, 173, 441], dtype=int64)
 array([382,   5, 450, 279], dtype=int64)
 array([590,  84, 653, 244], dtype=int64)
 array([374,   6, 448, 219], dtype=int64)]",[ 98  24 198 164 227 230 231],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/14080.jpg
14085,0 days 00:12:24.672728,0 days 00:00:00.000420,[0 0 0 1 0 1],"[array([536, 240, 634, 377], dtype=int64)
 array([165,  41, 222, 157], dtype=int64)
 array([ 69, 179, 173, 441], dtype=int64)
 array([382,   6, 452, 279], dtype=int64)
 array([588,  85, 650, 245], dtype=int64)
 array([375,   7, 437, 219], dtype=int64)]",[ 98  24 164 227 230 231],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/14085.jpg
14090,0 days 00:12:25.032269,0 days 00:00:00.000454,[0 0 0 1 0],"[array([536, 239, 633, 376], dtype=int64)
 array([165,  42, 222, 157], dtype=int64)
 array([ 69, 179, 173, 441], dtype=int64)
 array([379,   7, 451, 276], dtype=int64)
 array([587,  88, 647, 243], dtype=int64)]",[ 98  24 164 227 230],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/14090.jpg
14095,0 days 00:12:25.426863,0 days 00:00:00.000433,[0 0 0 1 0 0],"[array([536, 238, 633, 376], dtype=int64)
 array([165,  41, 222, 158], dtype=int64)
 array([ 69, 179, 173, 442], dtype=int64)
 array([382,   7, 450, 278], dtype=int64)
 array([586,  94, 646, 241], dtype=int64)
 array([112,  53, 140,  98], dtype=int64)]",[ 98  24 164 227 230 198],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/14095.jpg
14100,0 days 00:12:25.801557,0 days 00:00:00.000425,[0 0 0 1 0 0 0 1],"[array([536, 239, 634, 377], dtype=int64)
 array([165,  41, 222, 157], dtype=int64)
 array([ 68, 179, 173, 442], dtype=int64)
 array([383,   6, 452, 279], dtype=int64)
 array([584, 100, 642, 241], dtype=int64)
 array([112,  53, 140,  98], dtype=int64)
 array([650, 484, 703, 546], dtype=int64)
 array([377,   8, 445, 218], dtype=int64)]",[ 98  24 164 227 230 198 221 231],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/14100.jpg
14105,0 days 00:12:26.089640,0 days 00:00:00.000423,[0 0 0 1 0],"[array([536, 241, 634, 377], dtype=int64)
 array([165,  42, 222, 157], dtype=int64)
 array([ 68, 179, 173, 441], dtype=int64)
 array([380,   7, 452, 275], dtype=int64)
 array([584, 103, 641, 245], dtype=int64)]",[ 98  24 164 227 230],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/14105.jpg
14110,0 days 00:12:26.414216,0 days 00:00:00.000437,[0 0 0 1 0],"[array([536, 242, 634, 376], dtype=int64)
 array([165,  41, 222, 157], dtype=int64)
 array([ 69, 179, 173, 441], dtype=int64)
 array([383,   7, 452, 280], dtype=int64)
 array([578, 107, 640, 245], dtype=int64)]",[ 98  24 164 227 230],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/14110.jpg
14115,0 days 00:12:26.798948,0 days 00:00:00.000435,[0 0 0 1 0 0 1],"[array([536, 240, 634, 379], dtype=int64)
 array([165,  41, 222, 157], dtype=int64)
 array([ 69, 179, 173, 441], dtype=int64)
 array([390,   3, 452, 280], dtype=int64)
 array([577, 112, 635, 246], dtype=int64)
 array([656, 436, 703, 571], dtype=int64)
 array([377,   3, 450, 218], dtype=int64)]",[ 98  24 164 227 230 221 231],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/14115.jpg
14120,0 days 00:12:27.316338,0 days 00:00:00.000448,[0 0 0 1 0 1],"[array([533, 241, 634, 379], dtype=int64)
 array([165,  42, 222, 157], dtype=int64)
 array([ 68, 179, 173, 441], dtype=int64)
 array([394,   1, 450, 280], dtype=int64)
 array([649, 436, 703, 574], dtype=int64)
 array([377,   1, 450, 219], dtype=int64)]",[ 98  24 164 227 221 231],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/14120.jpg
14125,0 days 00:12:27.397801,0 days 00:00:00.000411,[0 0 0 1 0 1 0],"[array([528, 242, 634, 379], dtype=int64)
 array([165,  42, 222, 157], dtype=int64)
 array([ 68, 180, 172, 442], dtype=int64)
 array([396,  16, 450, 280], dtype=int64)
 array([645, 451, 703, 576], dtype=int64)
 array([377,   1, 448, 219], dtype=int64)
 array([112,  54, 140,  99], dtype=int64)]",[ 98  24 164 227 221 231 198],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/14125.jpg
14130,0 days 00:12:27.969062,0 days 00:00:00.000404,[0 0 0 1 0 1 0],"[array([526, 241, 634, 379], dtype=int64)
 array([165,  42, 222, 157], dtype=int64)
 array([ 68, 181, 172, 442], dtype=int64)
 array([396,  26, 451, 280], dtype=int64)
 array([643, 472, 703, 575], dtype=int64)
 array([377,   0, 448, 218], dtype=int64)
 array([112,  54, 140,  99], dtype=int64)]",[ 98  24 164 227 221 231 198],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/14130.jpg
14135,0 days 00:12:28.292217,0 days 00:00:00.000459,[0 0 0 1 0 1 0],"[array([526, 241, 634, 379], dtype=int64)
 array([165,  42, 222, 157], dtype=int64)
 array([ 68, 181, 172, 441], dtype=int64)
 array([396,  27, 451, 280], dtype=int64)
 array([642, 481, 703, 575], dtype=int64)
 array([377,   0, 449, 218], dtype=int64)
 array([112,  54, 140,  99], dtype=int64)]",[ 98  24 164 227 221 231 198],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/14135.jpg
14140,0 days 00:12:28.640669,0 days 00:00:00.000407,[0 0 0 1 0 1 0],"[array([534, 241, 634, 379], dtype=int64)
 array([165,  42, 222, 156], dtype=int64)
 array([ 68, 179, 172, 442], dtype=int64)
 array([396,  29, 452, 280], dtype=int64)
 array([654, 483, 703, 575], dtype=int64)
 array([377,   0, 447, 218], dtype=int64)
 array([112,  54, 140,  99], dtype=int64)]",[ 98  24 164 227 221 231 198],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/14140.jpg
14145,0 days 00:12:28.747875,0 days 00:00:00.000435,[0 0 0 1 0 1 0 0],"[array([536, 241, 634, 380], dtype=int64)
 array([165,  42, 222, 156], dtype=int64)
 array([ 68, 178, 172, 442], dtype=int64)
 array([396,  31, 452, 280], dtype=int64)
 array([659, 485, 703, 575], dtype=int64)
 array([377,   0, 446, 219], dtype=int64)
 array([112,  54, 140,  99], dtype=int64)
 array([ 71, 166, 123, 200], dtype=int64)]",[ 98  24 164 227 221 231 198 233],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/14145.jpg
14150,0 days 00:12:29.104188,0 days 00:00:00.000436,[0 0 0 1 0 1 0 0 0 0],"[array([537, 240, 634, 379], dtype=int64)
 array([165,  42, 222, 156], dtype=int64)
 array([ 68, 177, 172, 442], dtype=int64)
 array([396,  31, 453, 280], dtype=int64)
 array([660, 485, 703, 575], dtype=int64)
 array([378,   0, 447, 219], dtype=int64)
 array([112,  54, 140,  99], dtype=int64)
 array([ 71, 167, 122, 200], dtype=int64)
 array([450, 143, 571, 409], dtype=int64)
 array([555,  25, 616, 176], dtype=int64)]",[ 98  24 164 227 221 231 198 233 234 235],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/14150.jpg
14155,0 days 00:12:29.310864,0 days 00:00:00.000454,[0 0 0 1 0 1 0 0 1],"[array([537, 240, 634, 381], dtype=int64)
 array([164,  42, 222, 157], dtype=int64)
 array([ 68, 176, 172, 442], dtype=int64)
 array([396,  32, 453, 280], dtype=int64)
 array([662, 486, 703, 575], dtype=int64)
 array([378,   0, 448, 219], dtype=int64)
 array([112,  54, 140,  99], dtype=int64)
 array([ 71, 168, 122, 200], dtype=int64)
 array([449, 147, 557, 411], dtype=int64)]",[ 98  24 164 227 221 231 198 233 234],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/14155.jpg
14160,0 days 00:12:29.618031,0 days 00:00:00.000438,[0 0 0 1 0 1 0 0 0],"[array([537, 240, 634, 381], dtype=int64)
 array([165,  42, 222, 157], dtype=int64)
 array([ 68, 177, 172, 442], dtype=int64)
 array([396,  32, 454, 280], dtype=int64)
 array([662, 486, 703, 575], dtype=int64)
 array([378,   0, 449, 219], dtype=int64)
 array([112,  53, 140, 100], dtype=int64)
 array([ 71, 167, 122, 200], dtype=int64)
 array([433, 145, 546, 412], dtype=int64)]",[ 98  24 164 227 221 231 198 233 234],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/14160.jpg
14165,0 days 00:12:29.868095,0 days 00:00:00.000418,[0 0 0 1 0 1 0 0 0],"[array([537, 240, 634, 381], dtype=int64)
 array([165,  43, 222, 157], dtype=int64)
 array([ 68, 182, 172, 441], dtype=int64)
 array([396,  33, 454, 280], dtype=int64)
 array([653, 485, 703, 574], dtype=int64)
 array([377,   0, 450, 219], dtype=int64)
 array([113,  54, 140,  99], dtype=int64)
 array([ 71, 167, 122, 200], dtype=int64)
 array([406, 150, 532, 441], dtype=int64)]",[ 98  24 164 227 221 231 198 233 234],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/14165.jpg
14170,0 days 00:12:30.176191,0 days 00:00:00.000428,[0 0 0 1 1 0 0 0],"[array([536, 240, 634, 382], dtype=int64)
 array([164,  43, 222, 157], dtype=int64)
 array([ 68, 179, 172, 442], dtype=int64)
 array([396,  33, 454, 280], dtype=int64)
 array([377,   0, 450, 216], dtype=int64)
 array([112,  54, 140,  99], dtype=int64)
 array([394, 155, 521, 466], dtype=int64)
 array([545,  25, 616, 221], dtype=int64)]",[ 98  24 164 227 231 198 234 235],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/14170.jpg
14175,0 days 00:12:30.440153,0 days 00:00:00.000553,[0 0 0 1 1 0 0 0],"[array([536, 239, 634, 381], dtype=int64)
 array([164,  43, 222, 157], dtype=int64)
 array([ 68, 182, 172, 441], dtype=int64)
 array([395,  32, 455, 280], dtype=int64)
 array([378,   0, 449, 212], dtype=int64)
 array([112,  55, 140,  99], dtype=int64)
 array([391, 165, 512, 478], dtype=int64)
 array([650, 486, 703, 574], dtype=int64)]",[ 98  24 164 227 231 198 234 221],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/14175.jpg
14180,0 days 00:12:30.640612,0 days 00:00:00.000454,[0 0 0 1 1 0 0 0],"[array([536, 239, 634, 383], dtype=int64)
 array([164,  42, 222, 157], dtype=int64)
 array([ 68, 180, 172, 442], dtype=int64)
 array([395,  33, 455, 280], dtype=int64)
 array([380,   0, 449, 210], dtype=int64)
 array([112,  55, 140,  99], dtype=int64)
 array([391, 170, 505, 480], dtype=int64)
 array([648, 486, 703, 574], dtype=int64)]",[ 98  24 164 227 231 198 234 221],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/14180.jpg
14185,0 days 00:12:30.805041,0 days 00:00:00.000380,[0 0 0 1 1 0 1 0],"[array([536, 239, 633, 385], dtype=int64)
 array([164,  42, 222, 157], dtype=int64)
 array([ 68, 179, 172, 442], dtype=int64)
 array([395,  32, 454, 275], dtype=int64)
 array([384,   0, 449, 206], dtype=int64)
 array([112,  54, 140,  99], dtype=int64)
 array([384, 181, 500, 520], dtype=int64)
 array([648, 486, 703, 573], dtype=int64)]",[ 98  24 164 227 231 198 234 221],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/14185.jpg
14190,0 days 00:12:31.103809,0 days 00:00:00.000427,[0 0 0 1 1 0 1 0 0],"[array([536, 240, 633, 385], dtype=int64)
 array([164,  39, 224, 157], dtype=int64)
 array([ 68, 179, 172, 442], dtype=int64)
 array([395,  33, 454, 277], dtype=int64)
 array([385,   0, 450, 206], dtype=int64)
 array([113,  54, 140,  99], dtype=int64)
 array([377, 196, 498, 553], dtype=int64)
 array([647, 486, 703, 573], dtype=int64)
 array([599,  30, 646, 222], dtype=int64)]",[ 98  24 164 227 231 198 234 221 237],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/14190.jpg
14195,0 days 00:12:31.537372,0 days 00:00:00.000447,[0 0 0 1 1 1 0 0],"[array([536, 240, 633, 385], dtype=int64)
 array([166,  33, 227, 159], dtype=int64)
 array([ 68, 178, 172, 442], dtype=int64)
 array([395,  33, 453, 279], dtype=int64)
 array([386,   0, 450, 206], dtype=int64)
 array([378, 216, 502, 564], dtype=int64)
 array([645, 487, 703, 573], dtype=int64)
 array([599,  36, 650, 223], dtype=int64)]",[ 98  24 164 227 231 234 221 237],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/14195.jpg
14200,0 days 00:12:31.893424,0 days 00:00:00.000454,[0 0 1 1 1 0 0],"[array([536, 240, 633, 386], dtype=int64)
 array([ 69, 180, 172, 442], dtype=int64)
 array([396,  33, 453, 280], dtype=int64)
 array([386,   0, 450, 206], dtype=int64)
 array([383, 236, 504, 568], dtype=int64)
 array([644, 486, 703, 573], dtype=int64)
 array([598,  42, 654, 222], dtype=int64)]",[ 98 164 227 231 234 221 237],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/14200.jpg
14205,0 days 00:12:32.083295,0 days 00:00:00.000449,[0 0 1 1 1 0 0],"[array([537, 240, 632, 386], dtype=int64)
 array([ 69, 179, 172, 442], dtype=int64)
 array([396,  33, 453, 280], dtype=int64)
 array([386,   0, 452, 207], dtype=int64)
 array([384, 258, 505, 576], dtype=int64)
 array([642, 485, 703, 573], dtype=int64)
 array([599,  47, 659, 222], dtype=int64)]",[ 98 164 227 231 234 221 237],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/14205.jpg
14210,0 days 00:12:32.367061,0 days 00:00:00.000429,[0 0 1 1 1 0 0 0],"[array([537, 240, 632, 386], dtype=int64)
 array([ 69, 179, 172, 442], dtype=int64)
 array([395,  32, 454, 280], dtype=int64)
 array([386,   0, 451, 207], dtype=int64)
 array([387, 286, 504, 576], dtype=int64)
 array([642, 485, 703, 573], dtype=int64)
 array([599,  49, 664, 231], dtype=int64)
 array([164,  29, 238, 157], dtype=int64)]",[ 98 164 227 231 234 221 237  24],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/14210.jpg
14215,0 days 00:12:32.730935,0 days 00:00:00.000434,[0 0 1 1 1 0 0 0],"[array([537, 240, 633, 387], dtype=int64)
 array([ 69, 179, 172, 442], dtype=int64)
 array([395,  32, 453, 281], dtype=int64)
 array([386,   0, 450, 207], dtype=int64)
 array([380, 314, 503, 576], dtype=int64)
 array([641, 486, 703, 573], dtype=int64)
 array([599,  52, 670, 234], dtype=int64)
 array([165,  27, 240, 158], dtype=int64)]",[ 98 164 227 231 234 221 237  24],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/14215.jpg
14220,0 days 00:12:32.877669,0 days 00:00:00.000405,[0 0 1 1 1 0 0 0],"[array([537, 240, 633, 387], dtype=int64)
 array([ 68, 179, 172, 442], dtype=int64)
 array([395,  32, 454, 280], dtype=int64)
 array([386,   0, 449, 207], dtype=int64)
 array([368, 340, 500, 576], dtype=int64)
 array([641, 491, 703, 573], dtype=int64)
 array([600,  51, 673, 234], dtype=int64)
 array([164,  27, 240, 158], dtype=int64)]",[ 98 164 227 231 234 221 237  24],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/14220.jpg
14225,0 days 00:12:33.046159,0 days 00:00:00.000422,[0 0 1 1 1 0 0 0],"[array([537, 240, 633, 388], dtype=int64)
 array([ 68, 179, 172, 442], dtype=int64)
 array([396,  32, 454, 280], dtype=int64)
 array([386,   0, 448, 207], dtype=int64)
 array([368, 370, 502, 576], dtype=int64)
 array([640, 493, 703, 573], dtype=int64)
 array([607,  51, 676, 235], dtype=int64)
 array([164,  27, 240, 158], dtype=int64)]",[ 98 164 227 231 234 221 237  24],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/14225.jpg
14230,0 days 00:12:33.317646,0 days 00:00:00.000423,[0 0 1 1 1 0 0 0],"[array([537, 240, 633, 388], dtype=int64)
 array([ 68, 179, 172, 442], dtype=int64)
 array([396,  32, 455, 280], dtype=int64)
 array([386,   0, 445, 207], dtype=int64)
 array([373, 410, 502, 576], dtype=int64)
 array([639, 495, 703, 574], dtype=int64)
 array([618,  54, 681, 236], dtype=int64)
 array([171,  28, 239, 157], dtype=int64)]",[ 98 164 227 231 234 221 237  24],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/14230.jpg
